strain	accession	date	country	state
USA_PA_2014_19035	KT995537	2014-09-02	USA	PA
USA_CO_2014_19189	KT995540	2014-09-03	USA	CO
USA_SC_2014_19215	KT995582	2014-09-03	USA	SC
USA_CO_2014_19190	KT995541	2014-09-05	USA	CO
USA_SD_2014_19194	KT995560	2014-09-05	USA	SD
USA_IL_2014_19179	KT995542	2014-09-06	USA	IL
USA_MI_2014_19238	KT995602	2014-09-06	USA	MI
USA_MT_2014_19216	KT995550	2014-09-06	USA	MT
USA_KY_2014_19182	KT995545	2014-09-07	USA	KY
USA_ID_2014_19068	KT995555	2014-09-08	USA	ID
USA_LA_2014_19168	KT995534	2014-09-08	USA	LA
USA_MI_2014_19198	KT995564	2014-09-08	USA	MI
USA_MS_2014_19052	KT995549	2014-09-08	USA	MS
USA_PA_2014_19177	KT995538	2014-09-08	USA	PA
USA_SC_2014_19196	KT995562	2014-09-08	USA	SC
USA_SD_2014_19193	KT995559	2014-09-08	USA	SD
USA_VA_2014_19178	KT995539	2014-09-08	USA	VA
USA_CT_2014_19180	KT995543	2014-09-09	USA	CT
USA_DC_2014_19264	KT995629	2014-09-09	USA	DC
USA_DE_2014_19197	KT995563	2014-09-09	USA	DE
USA_GA_2014_19200	KT995566	2014-09-09	USA	GA
USA_LA_2014_19220	KT995584	2014-09-09	USA	LA
USA_MA_2014_19048	KT995546	2014-09-09	USA	MA
USA_NC_2014_19064	KT995553	2014-09-09	USA	NC
USA_NE_2014_19206	KT995572	2014-09-09	USA	NE
USA_PA_2014_19263	KT995628	2014-09-09	USA	PA
USA_TX_2014_19228	KT995592	2014-09-09	USA	TX
USA_VA_2014_19187	KT995554	2014-09-09	USA	VA
USA_VA_2014_19181	KT995544	2014-09-09	USA	VA
USA_WA_2014_19210	KT995577	2014-09-09	USA	WA
USA_WI_2014_19217	KT995558	2014-09-09	USA	WI
USA_WI_2014_19222	KT995586	2014-09-09	USA	WI
USA_IA_2014_19171	KT995548	2014-09-10	USA	IA
USA_MA_2014_19183	KT995547	2014-09-10	USA	MA
USA_NC_2014_19229	KT995593	2014-09-10	USA	NC
USA_OK_2014_19247	KT995612	2014-09-10	USA	OK
USA_WA_2014_19184	KT995551	2014-09-10	USA	WA
USA_LA_2014_19191	KT995556	2014-09-11	USA	LA
USA_MS_2014_19204	KT995570	2014-09-11	USA	MS
USA_NE_2014_19257	KT995622	2014-09-11	USA	NE
USA_WI_2014_19226	KT995590	2014-09-11	USA	WI
USA_WY_2014_19051	KT995601	2014-09-11	USA	WY
USA_CT_2014_19208	KT995575	2014-09-12	USA	CT
USA_MI_2014_19221	KT995585	2014-09-12	USA	MI
USA_ND_2014_19205	KT995571	2014-09-12	USA	ND
USA_NJ_2014_19212	KT995579	2014-09-12	USA	NJ
USA_RI_2014_19213	KT995580	2014-09-12	USA	RI
USA_SC_2014_19239	KT995603	2014-09-12	USA	SC
USA_VA_2014_19218	KT995574	2014-09-12	USA	VA
USA_CO_2014_19258	KT995623	2014-09-13	USA	CO
USA_CT_2014_19201	KT995567	2014-09-13	USA	CT
USA_KY_2014_19219	KT995583	2014-09-13	USA	KY
USA_RI_2014_19214	KT995581	2014-09-13	USA	RI
USA_SD_2014_19207	KT995573	2014-09-13	USA	SD
USA_AR_2014_19227	KT995591	2014-09-14	USA	AR
USA_CT_2014_19202	KT995568	2014-09-14	USA	CT
USA_KY_2014_19209	KT995576	2014-09-14	USA	KY
USA_OR_2014_19073	KT995595	2014-09-14	USA	OR
USA_WA_2014_19060	KT995578	2014-09-14	USA	WA
USA_AL_2014_19241	KT995605	2014-09-15	USA	AL
USA_CO_2014_19244	KT995608	2014-09-15	USA	CO
USA_CT_2014_19233	KT995597	2014-09-15	USA	CT
USA_KS_2014_19234	KT995598	2014-09-15	USA	KS
USA_MI_2014_19251	KT995616	2014-09-15	USA	MI
USA_CT_2014_19230	KT995594	2014-09-16	USA	CT
USA_KY_2014_19236	KT995600	2014-09-16	USA	KY
USA_MA_2014_19232	KT995596	2014-09-16	USA	MA
USA_MD_2014_19235	KT995599	2014-09-16	USA	MD
USA_WV_2014_19242	KT995606	2014-09-16	USA	WV
USA_OH_2014_19240	KT995604	2014-09-17	USA	OH
USA_VA_2014_19255	KT995620	2014-09-18	USA	VA
USA_VT_2014_19245	KT995609	2014-09-18	USA	VT
USA_MS_2014_19243	KT995607	2014-09-20	USA	MS
USA_SD_2014_19249	KT995614	2014-09-23	USA	SD
USA_GA_2014_19246	KT995610	2014-09-24	USA	GA
USA_NC_2014_19248	KT995613	2014-09-24	USA	NC
USA_ND_2014_19252	KT995617	2014-09-24	USA	ND
USA_WY_2014_19253	KT995618	2014-09-24	USA	WY
USA_ID_2014_19256	KT995621	2014-09-25	USA	ID
USA_NJ_2014_19262	KT995627	2014-09-25	USA	NJ
USA_NJ_2014_19250	KT995615	2014-09-25	USA	NJ
USA_TN_2014_19260	KT995625	2014-09-27	USA	TN
USA_NC_2014_19254	KT995619	2014-09-30	USA	NC
USA_TX_2014_19261	KT995626	2014-09-30	USA	TX
USA_C6261_2000	KX255391	2000-09-08	USA	
USA_C2204_2003	KX255410	2003-09-17	USA	
USA_C6944_2006	KX255363	2006-09-26	USA	
USA_MO83_2009	KX261809	2009-09-17	USA	
USA_O979a_2012	KX255359	2012-09-14	USA	
USA_O4417_2013	KX255368	2013-09-11	USA	
USA_O4415_2013	KX255406	2013-09-25	USA	
USA_MO65_2009	KX261799	2009-09-27	USA	
USA_O774a_2012	KX255377	2012-09-03	USA	
USA_C6633_2000	KX433166	2000-09-15	USA	
USA_C3578_2000	KX255357	2000-09-19	USA	
USA_C2386_2003	KX255388	2003-09-02	USA	
NYC403	JX101846	2009-09-01	USA	
USA_MO79_2009	KX261798	2009-09-06	USA	
USA_C7245_2011	KX255376	2011-09-27	USA	